จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,จำนวนหน่วยเลือกตั้งทั้งหมด
กรุงเทพมหานคร,1,7,เศรษฐกิจ,1292,1.65,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,8,ไทยสร้างไทย,675,0.86,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,9,ไทยก้าวใหม่,650,0.83,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,10,เสรีรวมไทย,374,0.48,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,11,ประชาธิปไตยใหม่,323,0.41,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,12,ทางเลือกใหม่,300,0.38,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,13,รวมใจไทย,226,0.29,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,14,รวมพลังประชาชน,160,0.2,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,15,รักชาติ,144,0.18,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,16,เพื่อชาติไทย,130,0.17,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,17,กล้าธรรม,114,0.15,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,18,พลวัต,103,0.13,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,19,โอกาสใหม่,100,0.13,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,20,กรีน,79,0.1,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,21,พลังประชารัฐ,69,0.09,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,22,ไทยทรัพย์ทวี,66,0.08,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,23,ประชาไทย,66,0.08,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,24,พลังเพื่อไทย,47,0.06,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,25,ไทยชนะ,47,0.06,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,26,ไทยก้าวหน้า,45,0.06,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,27,ปวงชนไทย,43,0.05,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,28,ไทยพร้อม,43,0.05,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,29,เป็นธรรม,42,0.05,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,30,ประชากรไทย,40,0.05,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,31,คลองไทย,39,0.05,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,32,ประชาชาติ,38,0.05,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,33,ใหม่,37,0.05,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,34,มิติใหม่,35,0.04,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,35,พลังธรรมใหม่,33,0.04,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,36,อนาคตไทย,29,0.04,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,37,ไทรวมพลัง,22,0.03,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,38,ครูไทยเพื่อประชาชน,19,0.02,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,39,ฟิวชัน,17,0.02,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,40,สร้างอนาคตไทย,17,0.02,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,41,วิชชั่นใหม่,14,0.02,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,42,แรงงานสร้างชาติ,14,0.02,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,43,พร้อม,13,0.02,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,44,เพื่อบ้านเมือง,12,0.02,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,45,ไทยธรรม,11,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,46,พลังสังคมใหม่,10,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,47,สังคมประชาธิปไตยไทย,8,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,48,ก้าวอิสระ,8,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,49,แผ่นดินธรรม,8,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,50,ความหวังใหม่,8,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,51,พลังไทยรักชาติ,8,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,52,ท้องที่ไทย,7,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,53,เพื่อชีวิตใหม่,7,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,54,เครือข่ายชาวนาแห่งประเทศไทย,6,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,55,ไทยรวมไทย,6,0.01,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,56,ไทยพิทักษ์ธรรม,3,0.0,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,1,57,ประชาอาสาชาติ,1,0.0,82421,,78517,1726,2178,227,94.97908,,239
กรุงเทพมหานคร,2,1,ประชาชน,40383,46.84,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,2,ภูมิใจไทย,18021,20.9,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,3,ประชาธิปัตย์,11048,12.81,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,4,เพื่อไทย,6226,7.22,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,5,ไทยภักดี,2050,2.38,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,6,รวมไทยสร้างชาติ,1819,2.11,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,7,เศรษฐกิจ,1578,1.83,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,8,ไทยสร้างไทย,707,0.82,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,9,ไทยก้าวใหม่,637,0.74,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,10,เสรีรวมไทย,388,0.45,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,11,ทางเลือกใหม่,358,0.42,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,12,เพื่อชาติไทย,280,0.32,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,13,กล้าธรรม,270,0.31,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,14,รวมใจไทย,215,0.25,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,15,ประชาธิปไตยใหม่,211,0.24,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,16,รวมพลังประชาชน,189,0.22,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,17,เป็นธรรม,154,0.18,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,18,รักชาติ,146,0.17,86220,,86220,,,220,94.82759,,232
กรุงเทพมหานคร,2,19,มิติใหม่,129,0.15,86220,,86220,,,220,94.82759,,232
